annotation_id,condition,gold_status,gold_icd9_code,gold_icd9_label,annotation_note,evaluation_scope,gold_link_status,in_current_extraction,entity_type
ICD-012,AOUP,non_condition,,,"AOUP is an organization acronym, not a diagnosis, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,False,
ICD-013,ematuria,code,599.7,Ematuria,ICD-9-CM 599.7 represents hematuria.,term_level_linking_and_nil_detection,codable,True,sintomo
ICD-014,cardiopatia ischemica,code,414.9,Cardiopatia ischemica cronica non specificata,"Ischemic heart disease is mapped to 414.9 (chronic ischemic heart disease, unspecified).",term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-015,Asintomatico,non_condition,,,"'Asintomatico' (asymptomatic) is not a diagnosis, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,False,
ICD-016,lieve disartria,code,784.51,Disartria,ICD-9-CM 784.51 represents dysarthria.,term_level_linking_and_nil_detection,codable,True,sintomo
ICD-017,disorientamento,code,780.97,Alterazione dello stato mentale / disorientamento,Disorientation is mapped to 780.97 (altered mental status / disorientation).,term_level_linking_and_nil_detection,codable,True,sintomo
ICD-018,eruzioni cutanee,code,782.1,Eruzione cutanea,Skin eruption is mapped to 782.1 (rash and other nonspecific skin eruption).,term_level_linking_and_nil_detection,codable,True,sintomo
ICD-019,stenosi critica al tratto medio e prossimale di arteria interventricolare anteriore,code,414.01,Aterosclerosi coronarica di arteria coronaria nativa,Native-coronary-artery stenosis is mapped to 414.01 (coronary atherosclerosis of native coronary artery).,term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-020,poliuria,code,788.42,Poliuria,ICD-9-CM 788.42 represents polyuria.,term_level_linking_and_nil_detection,codable,True,sintomo
ICD-021,S. pneumoniae,organism_only,,,"S. pneumoniae is an organism mention without an associated diagnosis, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,False,
ICD-022,infezione urinaria,code,599.0,"Infezione delle vie urinarie, sede non specificata","Urinary tract infection is mapped to 599.0 (urinary tract infection, site unspecified).",term_level_linking_and_nil_detection,codable,False,
ICD-023,Sindrome di Horner,insufficient_context,,,Horner syndrome is left NIL because the exact code requires manual verification against the source context.,term_level_linking_and_nil_detection,not_codable,False,
ICD-024,ipocinesia laterale,finding_not_diagnosis,,,"Lateral hypokinesia is an instrumental (imaging) finding, not a diagnosis, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,True,sintomo
ICD-025,flecainide,non_condition,,,"Flecainide is a drug, not a diagnosis, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,False,
ICD-026,NYHA IIb,functional_class,,,"NYHA IIb is a functional class, not a standalone diagnosis, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,False,
ICD-027,edema interstiziale,code,514,Congestione ed edema polmonare,Interstitial (pulmonary) edema is mapped to 514.0 (pulmonary congestion and hypostasis).,term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-028,asintomatico,non_condition,,,"'Asintomatico' (asymptomatic) is not a diagnosis, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,False,
ICD-029,bronchite,code,490,"Bronchite, non specificata come acuta o cronica","Bronchitis is mapped to 490.0 (bronchitis, not specified as acute or chronic).",term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-030,acinesia inferiore basale,finding_not_diagnosis,,,"Basal inferior akinesia is an imaging finding; coding requires fuller clinical context, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,True,sintomo
ICD-031,stenosi critica di D1,code,414.01,Aterosclerosi coronarica di arteria coronaria nativa,D1 (diagonal branch) coronary stenosis is mapped to 414.01 (coronary atherosclerosis of native coronary artery).,term_level_linking_and_nil_detection,codable,True,diagnosi
